FILENAME,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
1014SCN,84,14,49,14,150,15,57,14,0.38,0.25,0.17,0,0,0,84,39,38.4,34.2,0.56,0.74,4.85,6.86,0.88,18.81,0.67,4,1.41,0.86,0.11,0.84,0.09,0.19,0.28
1015SCN,156,32,103,32,312,41,140,41,0.45,0.29,0.21,0.15,0.74,0.61,156,39,39.9,38.6,0.5,0.77,6.24,8.83,0.88,20.67,0.65,14.24,2.67,0.74,0.16,0.79,0.11,0.14,0.25
1017SCN,65,9,37,9,106,12,43,12,0.41,0.28,0.14,0,0,0,65,36,36.5,36.5,0.61,0.73,4.46,6.31,0.9,19.31,0.93,12.07,2.46,0.86,0.3,0.81,0.05,0.12,0.16
1018SCN,155,36,112,36,341,42,151,41,0.44,0.27,0.23,0.03,0.03,0.13,155,33,38.1,35.4,0.45,0.7,5.94,8.39,0.86,18.73,0.71,15.61,2.79,0.74,0.15,0.81,0.11,0.1,0.21
1020SCN,99,13,61,13,207,16,85,16,0.41,0.19,0.13,0.09,0.09,0.21,99,35,37.1,36,0.48,0.71,4.87,6.88,0.86,16.74,0.82,7.36,1.92,0.72,0.11,0.66,0.15,0.12,0.27
1021SCN,112,16,76,16,275,18,133,18,0.48,0.14,0.14,0,0,0,112,32,36,35.3,0.41,0.73,4.78,6.75,0.84,15.25,0.6,10.8,2.32,0.57,0.14,0.63,0.1,0.14,0.23
1022SCN,135,34,87,32,278,42,122,40,0.44,0.33,0.25,0.1,0.2,0.32,135,36,40.3,38.5,0.49,0.76,5.73,8.1,0.87,19.04,0.6,7.2,1.9,0.71,0.1,0.77,0.12,0.11,0.23
1023SCN,82,12,53,12,148,17,79,17,0.53,0.22,0.15,0.03,0.03,0.13,82,33,39,34.3,0.55,0.66,4.77,6.74,0.88,18.37,0.72,15.21,2.76,0.67,0.27,0.65,0.03,0.13,0.15
1024SCN,102,21,70,20,181,25,95,24,0.52,0.25,0.21,0.12,0.35,0.42,102,42,39.6,35.8,0.56,0.8,5.36,7.58,0.89,20.46,0.62,9.85,2.22,0.74,0.17,0.79,0.05,0.13,0.18
1025SCN,139,24,98,23,278,28,125,27,0.45,0.22,0.17,0,0,0,139,37,38.8,36.8,0.5,0.75,5.89,8.34,0.88,19.84,0.74,17.06,2.92,0.78,0.18,0.77,0.1,0.16,0.26
1027SCN,98,17,65,17,169,17,80,17,0.47,0.21,0.17,0,0,0,98,36,37.4,36.8,0.58,0.75,5.33,7.54,0.89,20.97,0.61,6.72,1.83,0.81,0.14,0.81,0.1,0.15,0.25
1028SCN,225,50,169,48,668,65,311,63,0.47,0.2,0.22,0.09,0.68,0.58,225,39,37.7,34.3,0.34,0.7,6.16,8.71,0.83,16.88,0.45,18.77,3.06,0.54,0.14,0.6,0.1,0.13,0.22
