File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1120SCN_0_processed,315,142,290,28,38,3,10,33,142,122,4.084507,0.024872640095894516,10,3.393567076216161,0.21501976574470358
1121SCN_0_processed,504,241,470,37,45,4,8,20,238,214,3.900415,0.014557399723374827,9,3.7048540935361474,0.09824687374198679
1122SCN_0_processed,131,73,119,5,10,2,6,5,71,56,3.260274,0.04071537290715373,9,3.7726358148893357,0.09652641878669276
1123SCN_0_processed,425,208,399,34,44,5,11,22,208,184,3.8365386,0.0162578966926793,9,3.789529914529919,0.042559463546231226
1124SCN_0_processed,410,200,372,32,44,4,13,27,200,187,3.72,0.01628140703517588,7,3.327989949748745,0.13623901431348598
1125SCN_0_processed,368,199,341,19,25,0,6,18,197,170,3.4271357,0.016039794934267295,10,3.9941468973376173,0.07168848787623777
1126SCN_0_processed,93,66,85,1,4,0,3,5,62,43,2.5757575,0.03776223776223776,10,4.635113696456901,0.14813721631903448
1127SCN_0_processed,1001,309,936,174,189,2,15,113,309,288,6.0582523,0.015655865170428277,7,3.1589963434623662,0.1796212659690139
1128SCN_0_processed,488,240,459,36,41,0,5,21,240,209,3.825,0.014574616457461645,9,3.637726638772664,0.08477973913708087
1129SCN_0_processed,176,97,166,19,22,0,3,7,97,82,3.4226804,0.030927835051546393,12,4.1711769759450155,0.10674379578340511
1130SCN_0_processed,966,345,909,152,179,2,27,77,344,317,5.269565,0.012268284462419952,8,3.4743711438063585,0.09640153985509334
1131SCN_0_processed,700,256,662,96,115,4,19,58,256,239,5.171875,0.016636029411764706,10,3.303952205882352,0.13060263366433308
1133SCN_0_processed,415,200,390,25,32,1,7,20,200,183,3.9,0.01793969849246231,10,3.5089447236180904,0.09500988682933027
1134SCN_0_processed,306,174,285,14,17,5,4,9,174,148,3.275862,0.017473921998538304,11,4.167032090890971,0.08312490640164276
